Pomodoro,Hours,Minutes,Seconds,Repats,Success
0,3,54,54,11,1
1,3,26,15,13,0
2,2,43,56,8,1
3,0,27,37,2,1
4,0,31,13,13,0
5,0,39,43,5,0
6,3,28,45,9,1
7,0,28,59,10,0
8,0,8,44,5,1
9,1,50,56,2,1
10,1,1,49,11,0
11,3,3,7,5,0
12,0,50,13,9,1
13,1,20,7,6,1
14,0,4,54,13,0
15,2,58,2,1,0
16,2,19,31,0,0
17,1,36,19,9,0
18,0,25,14,3,0
19,1,10,27,6,1
20,1,3,26,3,0
21,2,7,59,7,0
22,1,38,43,15,0
23,0,28,53,9,0
24,1,20,50,4,0
25,1,43,55,8,1
26,1,41,13,11,1
27,1,1,41,12,0
28,1,42,7,11,0
29,3,4,28,13,0
30,2,6,21,1,0
31,2,56,51,9,1
32,1,46,3,2,1
33,0,23,58,13,0
34,1,33,47,15,1
35,2,25,51,9,0
36,2,12,26,15,0
37,1,18,53,9,0
38,3,35,57,6,1
39,2,7,53,5,1
40,0,1,41,15,1
41,3,36,42,10,0
42,1,43,21,2,0
43,0,28,13,3,0
44,0,55,43,13,0
45,1,51,27,7,1
46,1,34,38,0,1
47,3,9,29,8,1
48,2,11,16,3,0
49,1,58,36,9,1
50,3,3,1,3,1
51,1,14,28,9,0
52,0,21,45,10,1
53,1,15,16,9,0
54,0,11,5,8,0
55,2,31,3,8,1
56,1,14,10,8,1
57,2,6,16,5,1
58,3,15,6,4,1
59,3,37,51,7,0
60,0,52,55,2,0
61,1,35,47,5,0
62,0,18,30,14,0
63,2,11,49,5,0
64,3,58,35,7,0
65,0,38,50,15,1
66,3,58,45,8,0
67,0,58,24,1,1
68,1,26,58,0,1
69,3,40,46,6,1
70,1,13,57,12,1
71,1,52,50,14,0
72,1,7,13,11,0
73,1,41,11,7,1
74,2,26,30,5,1
75,1,29,25,12,1
76,2,55,6,10,0
77,0,39,52,2,1
78,1,45,11,6,0
79,3,33,9,10,1
80,1,37,59,13,1
81,3,38,20,13,1
82,2,40,22,15,0
83,2,56,6,15,0
84,2,30,10,0,0
85,1,57,22,2,1
86,0,3,45,2,1
87,3,18,4,13,0
88,3,20,13,6,1
89,1,5,39,8,0
90,1,39,44,6,0
91,2,44,24,11,1
92,2,22,16,5,0
93,3,12,53,0,1
94,2,46,47,5,1
95,0,2,51,7,1
96,3,57,36,0,0
97,3,34,23,0,1
98,1,39,2,6,1
99,2,35,13,5,0
100,1,21,25,1,1
101,0,17,4,14,0
102,2,41,20,4,0
103,1,29,44,5,0
104,1,17,28,15,1
105,0,50,22,12,1
106,2,43,27,13,1
107,2,11,37,13,0
108,0,11,54,4,0
109,1,2,56,8,0
110,2,47,28,11,1
111,3,45,59,0,1
112,1,0,40,12,0
113,1,17,12,9,1
114,2,38,59,3,0
115,1,17,28,1,1
116,3,1,34,13,1
117,3,23,5,12,1
118,3,1,29,14,0
119,2,49,2,5,0
120,1,48,54,8,1
121,3,40,9,11,1
122,1,4,18,5,0
123,1,16,1,10,1
124,0,53,36,12,0
125,2,0,18,4,0
126,1,41,27,6,1
127,1,52,38,8,0
128,1,18,4,15,0
129,3,23,34,15,0
130,2,48,26,7,1
131,1,37,21,3,0
132,0,36,37,1,0
133,1,3,31,12,0
134,2,51,51,10,0
135,3,53,10,3,1
136,3,33,38,14,1
137,0,20,43,5,0
138,1,28,45,0,1
139,3,59,26,8,1
140,2,8,38,15,1
141,0,12,15,9,0
142,0,6,51,4,0
143,3,44,47,14,0
144,3,37,47,0,1
145,0,37,12,1,1
146,3,50,2,14,0
147,2,58,55,3,1
148,1,50,8,0,1
149,0,22,17,13,1
150,1,45,9,11,1
151,1,54,32,2,1
152,0,40,54,3,0
153,0,30,23,14,0
154,2,20,49,12,0
155,1,54,12,12,0
156,0,52,32,5,0
157,0,24,21,5,1
158,1,1,46,2,0
159,0,35,15,7,1
160,3,56,25,14,0
161,3,32,35,4,0
162,1,44,57,15,1
